id,companyName,companies_ID,meanBonus,meanHourly,medianBonus,medianHourly,reportLink,year,meanHourlyPT,medianHourlyPT,meanHourlyTemp,medianHourlyTemp,perBonusFemale,perBonusMale,perBIKFemale,perBIKMale,pb1Female,pb1Male,pb2Female,pb2Male,pb3Female,pb3Male,pb4Female,pb4Male,perEmployeesFemale,perEmployeesMale,comment
269,Meath County Council,275,NULL,4.11,NULL,-0.67,https://www.meath.ie/system/files/media/file-uploads/2022-12/MCC%20Gender%20Pay%20Gap%20Report%20Dec%202022_0.pdf,2022,-12.43,-4.46,-24.69,-4.66,NULL,NULL,NULL,NULL,42.91,57.09,41.59,58.41,49.12,50.88,37.17,62.83,44,56,NULL
270,Mediahuis Ireland,276,34.8,22.3,0,24.4,https://www.mediahuis.ie/app/uploads/2022/12/Mediahuis-GPG-Report-December-2022-201222-2.pdf,2022,31.7,43.7,6.8,-25.9,89.6,94.2,100,100,53,47,42,58,36,64,25,75,NULL,NULL,NULL
271,Medtronic,277,28,11,24,14,https://www.medtronic.com/content/dam/medtronic-wide/public/western-europe/employee-support-services/communications/gender-pay-gap-2022-ie.pdf,2022,-7,0,8,10,98,98,80,87,52,48,54,46,45,55,40,60,NULL,NULL,NULL
272,Merck Millipore,278,33.2,21.1,29.8,22.6,https://www.merckgroup.com/uk-en/2022-Ireland-Gender-Pay-Gap-Report.pdf,2022,NULL,NULL,NULL,NULL,92.2,96.9,84.7,92.9,64.1,35.9,41.4,58.6,24.9,75.1,20,80,NULL,NULL,NULL
273,Mercury Ireland UC (Mercury Engineering),279,46.7,16.3,30.1,14.8,https://www.mercuryeng.com/wp-content/uploads/2022/12/Mercury-Gender-Pay-Gap-Report-2022-Final.pdf,2022,NULL,NULL,NULL,NULL,19.98,80.02,0,0,12.96,87.04,13.1,86.9,9.92,90.08,5.42,94.58,10.35,89.65,NULL
274,Mercy University Hospital,280,NULL,25.17,NULL,0.49,https://muh.ie/images/muhdocs/Mercy-University-Hospital-Gender-Pay-Gap-Report-2022.pdf,2022,16.98,-22.52,NULL,NULL,NULL,NULL,0.48,3.82,78.54,21.46,78.79,21.21,86.11,13.89,70.63,29.37,78,22,NULL
275,Merit Medical Ireland,281,30.9,11.42,0,3.14,https://www.merit.com/compliance/ireland-gender-pay-gap-2022/,2022,0.61,3.3,11.56,3,96,92,76,72,55,45,52,48,51,49,43,57,NULL,NULL,NULL
276,Meta Ireland (all legal entities),282,43.3,15.7,22.1,15,https://s21.q4cdn.com/399680738/files/doc_downloads/2022/12/Meta-Ireland-Gender-Pay-2022-Report.pdf,2022,NULL,NULL,7.1,14.4,96.8,96.7,100,100,60.7,39.3,55.8,44.2,48.9,51.1,37,63,NULL,NULL,NULL
277,Microsoft (both legal entities),283,9.8,0.2,9.9,6.2,https://www.microsoft.com/cms/api/am/binary/RE5dSTj,2022,NULL,NULL,NULL,NULL,82.7,78.4,85.3,86.9,39.2,60.8,33,67,31.4,68.4,29.9,70.1,NULL,NULL,NULL
278,ABM (formerly Momentum Support),284,23.1,3.9,-17.3,1.7,https://abmireland.com/wp-content/uploads/2023/03/Momentum-Support-An-ABM-Company-Gender-Pay-Gap-Report-2022-Reg-No-IE091300-v3-1.pdf,2022,0.2,1.8,NULL,NULL,2.8,3.7,0.9,1.2,77,23,69.1,30.9,64.5,35.5,64,36,68.67,31.33,NULL
279,Monaghan County Council,285,NULL,1.12,NULL,-8.5,https://issuu.com/1monaghancoco/docs/mcc_-_gender_pay_gap_report_2022_151222,2022,-8.37,-10.97,12.07,8.23,NULL,NULL,NULL,NULL,35.04,64.96,32.76,67.24,50,50,44.63,55.37,41,59,NULL
280,MSD,286,9.34,9.8,-0.24,13.05,https://msd-ireland.com/wp-content/uploads/sites/67/2022/12/MSD-Ireland-Gender-Pay-Gap-Report-2022-Final.pdf,2022,8.06,-4.71,11.57,25.68,95.11,96.18,100,100,59,41,48,52,33,67,29,71,42.46,57.74,NULL
281,MUFG Investor Services Ireland,287,10.4,2.8,2,0.6,https://web.archive.org/web/20230530214236/https://www.mufg-investorservices.com/wp-content/uploads/2022/12/MUFG-Ireland-Gender-Pay-Gap-.pdf,2022,NULL,NULL,NULL,NULL,NULL,NULL,88,88,38,62,44,56,42,58,40,60,NULL,NULL,NULL
282,Munster Technological University (MTU),288,NULL,8.1,NULL,6,https://www.mtu.ie/media/mtu-website/governance/policies-and-publications/equality-diversity-and-inclusion-edi/MTU-GPG-Report-December-2022.pdf,2022,9.3,10,5.1,14.4,NULL,NULL,NULL,NULL,61.1,38.9,52.8,47.1,51.2,48.6,41.3,58.7,52,48,NULL
283,Musgrave: Cedarglade,289,48.9,8.4,0,1.3,https://www.musgravegroup.com/wp-content/uploads/2022/12/Cedarglade-Gender-Pay-Gap-Communications-Statement-2022-FINAL.pdf,2022,2,1.9,0,0,41.7,48.7,0,0,69,31,66,34,61,39,54,46,NULL,NULL,NULL
284,Musgrave: Musgrave Limited,290,-13.5,-11.9,-15.4,-18.5,https://www.musgravegroup.com/wp-content/uploads/2022/12/Musgrave-Ltd-Gender-Pay-Gap-Communications-Statement-2022-FINAL-1.pdf,2022,-51.3,-12.4,-0.8,-6.7,85,90,8,7,20,80,14,86,26,74,29,71,NULL,NULL,NULL
285,Musgrave: Musgrave Operating Partners Ireland (MOPI) ,291,44.6,11.6,24.1,8.9,https://www.musgravegroup.com/wp-content/uploads/2022/12/MOPI-Gender-Pay-Gap-Communications-Statement-2022-FINAL.pdf,2022,5.1,8.2,-2.8,2,85.2,86.4,1.1,2.4,61,39,59,41,56,44,30,70,NULL,NULL,NULL
286,Nandos,292,33,-6,24.2,-0.3,https://www.nandos.ie/sites/default/files/Gender%20Pay%20Gap%20Report%20%28ROI%29%202022.pdf,2022,1.6,0,1.5,0.1,11.9,10.6,3.6,1.8,54,46,49,51,58,42,54,46,NULL,NULL,NULL
287,National Co-operative Farm Relief Services Limited (FRS Network),293,72.95,-15.6,60.02,-15.56,https://web.archive.org/web/20230202211403/https://www.frsnetwork.ie/gender-pay-gap-report/,2022,-5.88,-3.4,NULL,NULL,4,2,1,2,18,82,6,94,9,91,27,73,NULL,NULL,NULL
288,National College of Ireland,294,14.5,26.1,14.4,37.4,https://www.ncirl.ie/Portals/0/Gender%20Pay%20Gap/Gender_PayGap_Report22%20FINAL.pdf?ver=2022-12-19-121305-370,2022,37.4,48,26.1,51.9,1.03,0.93,NULL,NULL,63,37,70,30,55,45,40,60,NULL,NULL,NULL
289,National Shared Services Office,295,NULL,0.35,NULL,-7.56,https://prod-nsso-assets.s3.amazonaws.com/documents/Gender_Pay_Gap_Report_v3.pdf,2022,-4.86,9.84,7.95,0,NULL,NULL,NULL,NULL,62.87,37.18,63.41,36.59,73.85,26.15,69.15,30.85,67,33,NULL
290,National Transport Authority,296,NULL,3.78,NULL,1.91,https://www.nationaltransport.ie/wp-content/uploads/2022/12/Gender-Pay-Gap.pdf,2022,-33.99,-81.18,NULL,NULL,NULL,NULL,NULL,NULL,45,55,30,70,32,68,31,69,35,65,NULL
291,National Treasury Management Agency (NTMA),297,22.5,20.5,21.5,17,https://www.ntma.ie/uploads/publication-articles/NTMA-2022-Gender-Pay-Gap-Report.pdf,2022,-72.4,-70.8,19.2,17.7,32.9,38,30.5,48,65.9,34.1,53.2,46.8,50.1,49.9,38.7,61.3,52,48,NULL
292,Vision Ireland (formerly NCBI National Council for the Blind of Ireland),298,14.93,12.08,0,25.62,https://www.ncbi.ie/ncbi-gender-pay-gap-report/,2022,16.07,34.78,2.96,10.38,25.56,7.32,0,0,77.27,22.73,86.36,13.64,73.86,26.14,69.32,30.68,NULL,NULL,NULL
293,New Ireland Assurance,299,67.9,23.4,99.3,10.7,https://www.newireland.ie/view-document/107137-New_Ireland_GPG_Report_2022_.pdf,2022,-50.6,-46.8,-13.5,0,2.6,12.9,91.3,89.5,61,39,58,42,62,38,37,63,55,45,NULL
294,Northern Trust,300,35,11,12.5,3.3,https://www.northerntrust.com/content/dam/northerntrust/pws/nt/documents/about-us/policy/2022-irl-gpg-main-report.pdf,2022,-18.5,-10.2,23.8,0,96.4,94.8,90.2,87.9,48.4,51.6,54.8,45.2,51.8,48.2,41.4,58.6,NULL,NULL,NULL
295,Novartis: Novartis Ireland Limited,301,24.8,14.8,28.6,17.8,https://www.novartis.com/ie-en/sites/novartis_ie/files/Gender%20Pay%20Gap%20Report%202022%20-%20Novartis%20Ireland.pdf,2022,-22.5,21,0.1,-2.1,91.1,92.1,91.7,93.4,71.3,28.7,58.2,41.8,46.9,53.1,41.6,58.4,NULL,NULL,NULL
296,Novartis: Novartis Ringaskiddy Limited,302,2.2,23.4,7.7,29.5,https://www.novartis.com/ie-en/sites/novartis_ie/files/Gender%20Pay%20Gap%20Report%202022%20-%20Novartis%20Ireland.pdf,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
297,Nua Healthcare Services,303,-32.99,-2.05,-566.7,-1.38,https://www.nuahealthcare.ie/contentFiles/Gender_Pay_Gap_Report_2022.pdf,2022,0,0,0,0,31.1,32.1,2.01,6.01,64.89,35.11,57.31,42.69,63.51,36.49,69.76,30.24,62,38,NULL
298,Offaly County Council,304,NULL,-4,NULL,-9.12,https://www.offaly.ie/app/uploads/Council/Publications_Reports/Gender-Pay-Gap-Report-Dec-2022.pdf,2022,-9.25,-9,-7.49,-1.44,NULL,NULL,NULL,NULL,32.52,67.48,32.79,67.21,52.46,47.54,46.34,53.66,41,59,NULL
299,Office of Public Works: Established Staff,305,NULL,17.1,NULL,15.54,https://www.gov.ie/pdf/?file=https://assets.gov.ie/243689/f706321e-e782-4705-8109-714c66e03930.pdf#page=null,2022,NULL,NULL,-8.71,-5.28,NULL,NULL,NULL,NULL,66.35,33.65,57,43,32.85,67.15,33.17,66.83,47,53,NULL
300,Office of Public Works: State industrial Staff,306,NULL,10.07,NULL,10.98,https://www.gov.ie/pdf/?file=https://assets.gov.ie/243689/f706321e-e782-4705-8109-714c66e03930.pdf#page=null,2022,NULL,NULL,5.39,8.35,NULL,NULL,NULL,NULL,28.16,71.84,5.07,94.93,14.44,85.56,14.08,85.92,24,76,NULL
301,Ornua Co-operative Ltd,307,50,34,32,29,https://www.ornua.com/wp-content/uploads/2022/12/Ornua-Gender-Pay-Gap-Report-2022-FINAL.pdf,2022,NULL,NULL,-8,6,76,82,88,87,61,39,67,33,39,61,32,68,50,50,NULL
302,Orwell Healthcare,308,0,-7,NULL,-1,https://orwellhealthcare.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022-Orwell-Healthcare.pdf,2022,-8,4,NULL,NULL,74,26,81,19,79,21,60,40,66,34,80,20,71,29,NULL
303,Our Lady's Hospice and Care Services,309,NULL,-1,NULL,-13,https://web.archive.org/web/20230605163024/https://olh.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022_FINAL.pdf,2022,2,-10,-3,2,NULL,NULL,NULL,NULL,75,25,79,21,84,16,86,14,81.03,18.97,NULL
304,Paypal,310,27.1,14,1.7,6.4,https://www.paypalobjects.com/marketing/web/ie/en/PayPal-Ireland-Gender-Pay-Gap-report-2021-2022.pdf,2022,0,0,0,0,99.3,99.6,100,100,59.2,40.8,53,47,54.8,45.2,45.1,54.9,53,47,NULL
305,Pepper,311,61.53,25.15,29.95,15.64,https://web.archive.org/web/20230404001351/https://www.pepper-advantage.ie/siteassets/lending/documents/pepper-gender-pay-gap-report-2022.pdf,2022,27.89,37.76,NULL,NULL,70,65,81,76,64,36,61,39,64,36,39,64,NULL,NULL,NULL
306,PTSB (Permanent TSB),312,50.8,17.51,17.1,10.54,https://www.permanenttsb.ie/globalassets/csr-project/gender-pay-gap-report.pdf,2022,-43.2,-49.96,7.2,5.9,4.3,1.7,60.8,50.7,57,43,53,47,59,41,39,61,NULL,NULL,NULL
307,Peter Mark,313,0,23,NULL,5,https://web.archive.org/web/20230922184138/https://www.petermark.ie/gender-pay-report/,2022,-4,-6,NULL,NULL,0.4,0,1,13,95,5,93,7,92,8,89,11,NULL,NULL,NULL
308,Pfizer Ireland (all legal entities),314,11.5,11.7,-9.3,8.7,https://www.pfizer.ie/files/Pfizer-Ireland-Gender-Pay-gap-Report-2022-002.pdf,2022,NULL,NULL,NULL,NULL,83.1,84,87.9,91.2,47.6,52.4,41.5,58.5,38.6,61.4,29.5,70.5,15,85,NULL
309,PJ Hegarty & Sons,315,60,26,0,29,https://www.pjhegarty.ie/wp-content/uploads/2022/12/PJ-Hegarty-Sons-Gender-Pay-Gap-2022-Reduced-Size.pdf,2022,NULL,NULL,NULL,NULL,100,100,9,40,18,82,22,78,5,95,7,93,NULL,NULL,NULL
310,PM Group,316,56.3,32.4,36.9,29.4,https://www.pmgroup-global.com/news/gender-pay-gap-report-202/,2022,40.7,30.3,29.9,11.6,89.5,90.7,85.6,89.2,39.4,60.6,46.4,53.6,21.2,78.8,15.1,84.9,31,69,NULL
311,PrepayPower Limited,317,-8.96,-10.88,8.48,-6.49,https://www.prepaypower.ie/sites/default/files/2022-12/Gender%20Pay%20Gap%20Report%202022.pdf,2022,-111.62,-108.71,0,0,89.01,88.76,4.4,1.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
312,Primark (Penneys),319,63.7,17.1,39.8,0,https://primark.a.bigcontent.io/v1/static/Primark-Gender-Pay-Report-2022_IE,2022,-1.6,-0.7,1.4,0.3,6.3,11.9,8.2,13.6,81.7,18.3,78.9,21.1,84.7,15.3,75.9,24.1,NULL,NULL,NULL
313,Tailte Éireann (formerly Property Registration Authority),320,NULL,2.56,NULL,2.79,https://web.archive.org/web/20230209131101/https://www.prai.ie/wp-content/uploads/PRA-Gender-Pay-Gap-Report-2022.pdf,2022,0.02,-3.34,0,0,NULL,NULL,NULL,NULL,53.38,46.62,69.7,30.3,61.19,38.81,54.55,45.45,49.33,50.67,NULL
314,Public Appointments Service (PAS),321,NULL,-21.45,NULL,-22.59,https://www.publicjobs.ie/documents/PublicAppointmentsServiceGenderPayGapReporting.pdf,2022,19.3,-23.4,0.06,-5.16,NULL,NULL,NULL,NULL,52.94,47.06,53.73,46.27,70.83,29.17,77.78,22.22,63.7,36.3,NULL
315,PricewaterhouseCoopers (PwC),318,12.9,0.9,0,-16.6,https://www.pwc.ie/publications/2022/pwc-2022-gender-pay-gap-report.pdf,2022,36.9,57.1,-1.6,-0.3,89,87,94,93,49,51,55,45,60,40,53,47,NULL,NULL,NULL
316,Regeneron,322,28.3,17.4,10.5,10.4,https://www.regeneron.ie/downloads/ireland-gender-pay-gap-report.pdf,2022,NULL,NULL,6.1,6.3,85.9,88.7,89.1,91.2,51.6,48.4,52.1,47.9,47,53,41.2,58.8,48,52,NULL
317,Rehab,323,NULL,0.7,NULL,4,https://rehab.ie/wp-content/uploads/2022/12/Rehab-Group-Gender-Pay-Gap-Report-2022.pdf,2022,-4.6,-3.7,3.4,2.2,NULL,NULL,0.5,1.9,72.9,27.1,75.4,24.6,75.1,24.9,71.2,28.8,74,26,NULL
318,Respond,324,NULL,22.59,NULL,24.13,https://www.respond.ie/wp-content/uploads/2022/12/Responds-Gender-Pay-Gap-Report-.pdf,2022,15.05,10.38,28.51,7.52,NULL,NULL,NULL,NULL,88.46,11.54,76.92,23.08,66.67,33.33,55.84,44.16,72,28,NULL
319,Rexel: Kellihers Electrical,325,35.9,8.5,14.2,9.5,https://s3.eu-west-1.amazonaws.com/s3-media-offload-kellihers.com/wp-content/uploads/2022/12/Kellihers-Pay-Gap-Report-2022.pdf,2022,17.2,14.6,23,35,81.5,91.8,9.9,18.6,22,78,28,72,13,87,16,84,19,81,NULL
320,River Island,326,-100.4,7.6,8.4,10.8,https://images.riverisland.com/image/upload/v1669978111/0_20221202_Gender%20Pay%20Report%202022%20%28ROI%29%20Final.pdf,2022,11.3,13.2,-11.6,-21.6,20.3,13,0.5,0,86.6,13.4,89.1,10.9,77.3,22.7,82.4,17.6,83.8,16.2,NULL
321,Roscommon County Council,327,NULL,-4.11,NULL,-9.47,https://www.roscommoncoco.ie/en/download-it/corporate-affairs1/corporate-affairs-publications/publications/gender-pay-gap-december-2022.pdf,2022,-7.2,-4.33,17.78,35.58,NULL,NULL,NULL,NULL,27.35,72.65,31.58,68.42,36.97,63.03,43.59,56.41,35,65,NULL
322,Royal Victoria Eye and Ear Hospital,328,4.31,21.07,0,7.43,https://www.rveeh.ie/app/uploads/2022/12/RVEEH-Gender-Pay-Gap-Report-2022.pdf,2022,36.92,26.5,40.44,40.44,75.17,69.52,NULL,NULL,69,31,88,12,78,22,59.6,40.4,73,27,NULL
323,RPS Group Limited,329,34.4,13.1,34.6,14.7,https://www.rpsgroup.com/media/11159/roi-gender-pay-gap-report-2022-final-17122022.pdf,2022,-0.4,14.6,26.7,47.5,2.2,5.1,NULL,NULL,28.3,71.7,27.8,72.2,10,90,16.7,83.3,24,76,NULL
324,RSA (Road Safety Authority),330,NULL,5.44,NULL,5.05,https://www.rsa.ie/docs/default-source/about/rsa-gender-pay-gap-reporting-2022_web.pdf?Status=Master&sfvrsn=2412c1a8_3,2022,13.21,21.96,7.18,0,NULL,NULL,NULL,NULL,59.8,40.2,32.5,67.5,38.5,61.5,45.3,54.7,45.6,54.4,NULL
325,RSA Insurance Ireland (DAC),331,42.8,27.1,50.3,39.2,https://www.rsagroup.ie/sites/default/files/RSA%20Insurance%20Ireland%20%28DAC%29%20Gender%20Pay%20Gap%20Report%202022.pdf,2022,NULL,NULL,NULL,NULL,85.8,88.3,58,59.4,64.3,35.7,63.3,36.7,51,49,37.8,62.2,54,46,NULL
326,RTE,332,0,13.03,0,11.55,https://about.rte.ie/wp-content/uploads/2022/12/RTE-Gender-Pay-Gap-Report_19122022.pdf,2022,-3.4,-17,3.1,8.3,0.11,0,0,0.1,57,43,54,46,40,60,41,59,48,52,NULL
327,Ryanair,333,59,46,14,4,https://investor.ryanair.com/wp-content/uploads/2022/12/Ryanair-DAC-%E2%80%93-Gender-Pay-Gap-Report-%E2%80%93-2022.pdf,2022,13,-54,-10,-100,79.41,23.25,0,0,23.45,76.55,39.44,60.56,51.47,48.53,6.49,93.51,31,69,NULL
328,Salesforce Ireland,334,35,10,28,9,https://www.salesforce.com/eu/company/equality/2022-report/,2022,NULL,NULL,-11,-87,86,89,93,95,56,44,42,58,35,65,30,70,37.5,62.5,NULL
329,Sanofi: Genzyme Ireland Ltd,335,28.4,8.7,1.3,2.2,https://www.sanofi.ie/dam/jcr:3e3b4eeb-98ce-492b-a1dc-5dd8261f8fd7/22_157%20-%20genzyme%20-%20gender%20pay%20guide%20-%202022%20-%20221208a%20-%20mb.pdf,2022,-267.1,-277.5,-5.1,-12.8,79.6,82.2,82.4,87.9,33.7,66.3,49,51,44.5,55.5,34,66,40,60,NULL
330,SAP Landscapes,336,69.03,-10,-13,-8.9,https://www.saplandscapes.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022.pdf,2022,NULL,NULL,NULL,NULL,5.3,94.64,0,0,2.78,97.22,13.9,86.1,6.9,93.1,13.3,86.7,9,91,NULL
331,SAP: Business Objects Software Limited,337,33.7,17.6,39.3,20.1,https://www.sap.com/uk/documents/2022/12/5acb7ef5-557e-0010-bca6-c68f7e60039b.html,2022,40.8,-0.7,10.6,0,92,84,61,71,39.4,60.6,41.9,58.1,30.9,69.1,25.8,74.2,NULL,NULL,NULL
332,SAP: SAP Service and Support Centre (Ireland) Limited,338,0.9,9.1,13.1,8.9,https://www.sap.com/uk/documents/2022/12/5acb7ef5-557e-0010-bca6-c68f7e60039b.html,2022,-13.4,-4.9,1.8,0.1,91,91,69,78,28.4,71.6,35.8,64.2,41,59,39.7,60.3,NULL,NULL,NULL
333,Savills Ireland,339,79,51,46,20,https://www.savills.ie/news/sav-gender-pay-gap.pdf,2022,NULL,NULL,-48,20,69,71,25,54,51,49,68,32,63,37,27,73,NULL,NULL,NULL
334,Screwfix Republic of Ireland,340,29.9,4.8,36.2,1,https://www.screwfix.ie/images/general/assets/pdf/Screwfix%20ROI%20Gender%20Pay%20Gap%20Report%202022.pdf,2022,-0.3,-0.4,NULL,NULL,11.4,17.8,0,0.9,46,54,44,56,40,60,35,65,41,59,NULL
335,Sherry Fiztgerald,341,4,30,-6,28,https://sfgmedia.blob.core.windows.net/upload/structured_content/file_link/138950_GENDER_PAY_PRESENTATION_A4_ART.pdf,2022,NULL,NULL,-12,21,46,54,NULL,NULL,69,31,72,28,56,44,49,51,61,39,NULL
336,SIPTU,342,21.2,13.6,50,13,https://www.siptu.ie/aboutsiptu/genderpaygapreport/file_23210_en.pdf,2022,NULL,NULL,NULL,NULL,97.2,96.5,37.2,77.9,69.2,30.8,84.4,15.6,41.5,58.5,29.7,70.3,44,56,NULL
337,Sky,343,23.7,7.2,18.7,5.7,https://static.skyassets.com/contentstack/assets/bltdc2476c7b6b194dd/blt6edefc6d73cf5e77/63a4922dd21c86315ba4f954/ROI_Pay_Gap_Infographic.pdf,2022,-0.1,1.8,-69.7,-69.7,88.7,92.8,78.7,79,43.3,56.7,41.1,58.9,29.9,70.1,41.1,58.9,NULL,NULL,NULL
338,Sligo County Council,344,NULL,2.45,NULL,-6.36,https://www.sligococo.ie/News/Archive/NewsArchive2022/2022GenderPayGapReport/SCC%20-%20Gender%20Pay%20Gap%20Reporting%202022%20-%20Final.pdf,2022,-14.23,-11.44,12.02,6.3,NULL,NULL,NULL,NULL,27.05,72.95,34.71,65.29,49.18,50.82,28.69,71.31,35,65,NULL
339,Smurfit Kappa,345,-1.6,1.6,-171.8,-12.8,https://web.archive.org/web/20230604064412/https://www.smurfitkappa.com/ie/-/m/files/policies/ie/smurfit-kappa-gender-pay-gap-report-ireland.pdf?rev=bca05177832c49d493178c992504ae2c,2022,34.1,19,13.7,16.6,62.1,70.2,11.1,17.3,28,72,21,79,23,77,40,60,NULL,NULL,NULL
340,Smyths Toys,346,43,4,6,0,https://www.smythstoys.com/ie/en-ie/gender-pay-gap,2022,-1,0,0,2,48,46,47,44,52,48,48,52,51,49,47,53,NULL,NULL,NULL
341,Society of St. Vincent de Paul,347,-3,1.8,0,-7.1,https://www.svp.ie/wp-content/uploads/2022/12/SVP-GPG-Report-2022.pdf,2022,-2.8,-2.9,4.4,-1.9,1.7,1,NULL,NULL,66.1,33.9,64.2,35.8,76.7,23.3,68.2,31.8,69,31,NULL
342,Sodexo,348,22,18,0,19,https://ie.sodexo.com/files/live/sites/com-ie/files/Home/Positive%20Impact/ROI_Gender%20and%20Ethnicity%20Pay%20Gap%20Report%202022%20-%20FINAL.pdf,2022,7,4,7,4,21,26,2,5,64,34,51,49,34,66,30,70,56,44,NULL
343,South Dublin County Council,349,NULL,-3.06,NULL,-12.07,https://www.sdcc.ie/en/services/our-council/policies-and-plans/gender-pay-gap-report-2022/gender-pay-gap-report-2022.pdf,2022,-12.48,-6.21,-23.96,-17.45,NULL,NULL,6,13,38.13,61.88,32.19,67.81,66.25,33.75,48.78,51.22,46,54,NULL
344,South East Technological University,350,NULL,11.7,NULL,21.9,https://www.wit.ie/images/uploads/About_PDF/SETU_Gender_Pay_Gap_Report_2022.pdf,2022,23.6,53.8,15.6,24.7,NULL,NULL,NULL,NULL,64,36,57,43,48,52,45,55,53.7,46.3,NULL
345,SSE Airtricity,351,38.7,26,52.5,23,https://www.sse.com/media/hpud2g1q/sse-ireland-gpg-report-final-version.pdf,2022,19.9,1.8,5.7,24.6,89.9,91.9,48.7,46.5,54,46,42.1,57.9,30.5,69.5,24.2,75.8,37.7,62.3,NULL
346,St James's Hospital,352,NULL,-18,NULL,-4,https://www.stjames.ie/media/St%20Jamess%20Hospital%20Gender%20Pay%20Gap%20Report%202022.pdf,2022,-23,-8,-23,-34,NULL,NULL,NULL,NULL,78,22,78,22,80,20,69,31,NULL,NULL,NULL
347,Stripe,353,-6,0.3,11.1,3.3,https://assets.ctfassets.net/fzn2n1nzq965/t4b2VpwZ1NZV2Mqx3actq/1b78c587c54de67077a396df26e50ef0/Ireland_Gender_Pay_Gap_Report_2022.pdf,2022,NULL,NULL,17.2,23.3,84,82,100,100,48.7,51.3,48.2,51.8,40.2,59.8,43.8,56.3,NULL,NULL,NULL
348,Stryker,354,19,9,22,10,https://www.stryker.com/content/dam/stryker/about/our-locations/ireland/Ireland%20Gender%20Pay%20Gap%20Report%202022_FINAL.pdf,2022,13,1,3,1,90,91,82,85,26,74,29,71,43,57,41,59,35,65,NULL
350,Sun Life,355,19,14,16,16,https://www.sunlife.ie/content/dam/sunlife/regional/ireland/documents/sun-life-gender-pay-gap-report-december-2022.pdf,2022,-42,-29,3,0,91,95,89,88,46,54,57,43,46,54,27,73,44,56,NULL
351,Sysco Ireland,356,-20.9,7.7,0,13.5,https://syscoireland.com/sysco-ireland-gender-pay-gap-report/,2022,1.2,2.5,1.4,4.8,86.7,76.1,22,13,39,61,16,84,4,96,22,78,NULL,NULL,NULL
352,Takeda,357,13.3,7.8,4,5.5,https://www.takeda.com/4afe07/siteassets/en-ie/home/corporate-responsibility/takeda-ireland-gender-pay-gap-report-2022-exa.ie.tak.0009.pdf,2022,NULL,NULL,-2.5,6,92.8,95.9,87.8,92.4,42,58,37,63,37,63,29,71,NULL,NULL,NULL
353,Tayto Snacks,358,28.93,10.9,0,9,https://taytosnacks.ie/wp-content/uploads/2022/12/Tayto-2022-Gender-Pay-Report.pdf,2022,NULL,NULL,NULL,NULL,93.97,93.09,9.48,9.67,41.6,58.4,37.76,62.24,22.86,77.14,27.5,72.5,34.8,65.2,NULL
354,Teagasc,360,NULL,12,NULL,18,https://www.teagasc.ie/media/website/about/corporate-responsibility/Gender-Paygap-Report_2022-Web.pdf,2022,-15,-53,3,1,NULL,NULL,NULL,NULL,36,64,50,50,35,65,23,77,40,60,NULL
355,Technological University Dublin,361,NULL,10.77,NULL,18.44,https://web.archive.org/web/20221223071959/https://www.tudublin.ie/media/website/explore/about-the-university/gender-pay-gap/TU-Dublin-Gender-Pay-Gap-Return-December-2022.pdf,2022,32.39,63.05,6.03,14.93,NULL,NULL,NULL,NULL,54.47,45.53,52.88,47.12,46.3,53.7,38.01,61.99,NULL,NULL,NULL
356,Technological University of the Shannon (TUS),362,NULL,11.4,NULL,14,https://web.archive.org/web/20230605201311/https://tus.ie/app/uploads/2022/12/TUS-Gender-Pay-Gap-Report-2022.pdf,2022,14,9.6,9.9,5.5,NULL,NULL,NULL,NULL,60,40,60,40,52,48,41,59,53,47,NULL
357,Tesco Ireland,363,50.66,9.82,16.92,5.39,https://tescoireland.ie/media/0llni5n2/gpg-report-28-nov-2022-final.pdf,2022,1.83,2.66,-5.8,-0.35,83.53,83.66,5.93,6.39,57,43,66,34,44,56,46,54,NULL,NULL,NULL
358,The Coombe Hospital,364,NULL,17.66,NULL,1.76,https://static1.squarespace.com/static/5df2275ab592b63d2d87fd51/t/63af6d1676a7d343e5807c52/1672441111426/Final+Document.docx.pdf,2022,-49.25,-47.03,5.52,23.46,NULL,NULL,NULL,NULL,83.39,16.61,89.86,10.14,92.03,7.97,79.71,20.29,86.27,13.73,NULL
359,The Defence Organisation: Civil Servant Employees,365,NULL,12.23,NULL,10.53,https://assets.gov.ie/243871/ecbf2ec4-25ab-470f-83a2-e074b1d8dbe1.pdf,2022,-27.36,-12.56,0.86,0.69,NULL,NULL,NULL,NULL,63.27,36.73,81.63,18.37,72.45,27.55,51.52,48.48,67,33,NULL
360,The Defence Organisation: Civilian Employees,366,NULL,5.1,NULL,3.39,https://assets.gov.ie/243871/ecbf2ec4-25ab-470f-83a2-e074b1d8dbe1.pdf,2022,3.08,1.29,NULL,NULL,NULL,NULL,NULL,NULL,27.52,72.48,25,75,4.59,95.41,18.48,83.18,18,82,NULL
