id,companyName,companies_ID,meanBonus,meanHourly,medianBonus,medianHourly,reportLink,year,meanHourlyPT,medianHourlyPT,meanHourlyTemp,medianHourlyTemp,perBonusFemale,perBonusMale,perBIKFemale,perBIKMale,pb1Female,pb1Male,pb2Female,pb2Male,pb3Female,pb3Male,pb4Female,pb4Male,perEmployeesFemale,perEmployeesMale,comment
229,Jabil Ireland,233,45.8,16.2,10.4,5.8,https://www.jabil.com/dam/jcr:ba8fbb06-84a7-46bc-84d8-900c158e558d/Jabil%20Ireland%20-%20Gender%20Pay%20Gap%20Report%20-%20December%202022.pdf,2022,-13.7,-0.4,5.8,8.8,70.9,75.2,13.4,15.6,32.5,67.5,32.1,67.9,26.1,73.9,22.4,77.6,30,70,NULL
230,Jacobs,234,66.9,28.7,43.5,29.3,https://www.jacobs.com/sites/default/files/2022-12/Ireland_Gender_Pay_Gap_2022_Final_2.pdf,2022,33,37.8,11.9,0,25.3,21.9,1.8,4.7,44.4,55.6,49.1,50.9,30.4,69.6,13,87,34.2,65.8,NULL
231,JD Sports Fashion,235,31.85,-1.04,50.04,-0.95,https://www.jdplc.com/sites/jd-sportsfashion-plc/files/homepage/esg/governance/gender-pay-gap-reports/2021/ROI-JD-Sports-Fashion-Plc-GPG-2022-Final.pdf,2022,NULL,NULL,NULL,NULL,66,34,70,30,65.25,34.75,58.69,41.31,62.93,37.07,69.26,30.74,NULL,NULL,NULL
232,John Paul Construction,237,71,13,11,21,https://web.archive.org/web/20230403211231/https://www.johnpaul.ie/wp-content/uploads/Gender-Pay-Gap-Report-2022.pdf,2022,NULL,NULL,NULL,NULL,100,100,100,100,32,68,30,70,8,92,4,96,17,83,NULL
233,John Sisk and Son,238,31.7,13.7,0,23.3,https://www.johnsiskandson.com/uploads/pdf/Gender-Pay-Gap-Report-Ireland-2022_2022-12-16-154609_nuqr.pdf,2022,NULL,NULL,12.5,1,75.9,81.1,20.4,46.2,20.3,79.7,18.82,6.5,93.5,7.7,92.3,0,16,84,NULL
234,JPMSE Dublin Branch,239,46.51,22.4,24.57,15.47,https://www.jpmorgan.com/disclosures/ireland-gender-pay-gap-report/2022-ireland-gender-pay-gap-report,2022,NULL,NULL,NULL,NULL,85.22,82.3,95.22,92.13,45.95,54.05,45.89,54.11,40.41,59.59,24.66,75.34,NULL,NULL,NULL
235,KBC Bank Ireland,240,4.68,10.75,2.07,5.32,https://www.kbc.com/content/dam/kbccom/doc/ireland/20230830-kbc-gender-pay-gap-report-2022.pdf,2022,14.49,5.33,NULL,NULL,91.99,87.52,98.51,98.42,47.29,52.71,53.99,46.01,54.51,45.49,38.41,61.59,NULL,NULL,NULL
236,Kellanova (Kellogg Europe Trading Limited),241,67.73,40.32,45.65,31.29,https://www.kelloggs.ie/content/dam/europe/kelloggs_ie/pdf/KELLOGGS_GPG_IRELAND.pdf,2022,NULL,NULL,37.09,-15.13,89,93,88,88,71,29,76,24,67,33,47,53,65,35,NULL
237,Kelly Services (IRE) Limited,242,28.92,46.77,-67.83,44.59,https://www.kellyservices.ie/gender-pay-report-2022,2022,NULL,NULL,3.93,5.11,24.07,13.52,2.01,0.64,51,49,54,46,41,59,34,66,NULL,NULL,NULL
238,Kerry County Council,243,NULL,-1.63,NULL,-0.8,https://www.kerrycoco.ie/wp-content/uploads/2022/12/2022-Gender-Pay-Gap.pdf,2022,-18.6,-1.64,-7.76,-7.1,NULL,NULL,0,0.2,24.8,75.2,33.96,66.04,35.68,64.32,31.54,68.46,32,68,NULL
