year,meanBonus,meanHourly,medianBonus,medianHourly,meanHourlyPT,medianHourlyPT,meanHourlyTemp,medianHourlyTemp,perBonusFemale,perBonusMale,perBIKFemale,perBIKMale
2022,2,7,0,-7,NULL,NULL,37,46,70,90,65,89
2022,10.2,-1.6,-9.8,0.9,-1.7,0.3,NULL,NULL,91.6,89.8,100,100
2022,0,12.2,0,12.8,-0.4,-1.2,-22.5,-12.5,0,0,91.9,92.6
2022,42.5,12.3,38.3,13.2,-38.1,-13,7,3,43,28.4,83,87
2022,36.4,7.8,27.1,4,2.9,0.6,NULL,NULL,6,4.8,1.1,1.1
2022,NULL,2.01,NULL,6.66,26.43,-16.32,31.42,35.94,67.78,92.54,0,0
2022,68.4,47.9,52.3,29.4,39.2,58.6,26.6,-0.3,86.3,89.8,88,91
2022,33.1,15,14.3,9.1,49.5,45.9,2.44,0.7,90.2,94.4,92,95.5
2022,25.6,11.4,26.8,11.7,-154.7,-122.6,-4.3,-23.1,94.3,96.3,93.9,96.9
2022,12.8,7.47,0,7.81,17.32,42.45,1.41,1.54,58,56,57,53
2022,NULL,16,NULL,-4,-85,-36,NULL,NULL,NULL,NULL,100,100
2022,NULL,9.5,NULL,12.7,8.24,10.89,-27.9,0,NULL,NULL,NULL,NULL
2022,NULL,4.96,NULL,6.43,1.33,8.87,1.67,-1.75,NULL,NULL,NULL,NULL
2022,NULL,10.6,NULL,19.6,19.62,7.12,-2.53,-5.87,NULL,NULL,NULL,NULL
2022,NULL,12.28,NULL,3.08,42.04,45.34,NULL,NULL,NULL,NULL,4.3,2.2
2022,NULL,6.75,NULL,3.45,-16.55,-18.87,NULL,NULL,NULL,NULL,NULL,NULL
2022,NULL,-1,NULL,1,9.59,0,NULL,NULL,NULL,NULL,NULL,NULL
2022,NULL,5,NULL,1,10.51,17.86,NULL,NULL,NULL,NULL,NULL,NULL
2022,NULL,5.71,NULL,-2,-33.29,-20.87,-0.08,0,NULL,NULL,NULL,NULL
2022,NULL,5.52,NULL,1.22,-6.36,-1.51,-2.13,-2.73,NULL,NULL,NULL,NULL
2022,NULL,12.1,NULL,16,7.37,12.65,NULL,NULL,NULL,NULL,NULL,NULL
2022,NULL,8.82,NULL,1.65,4.21,0.22,NULL,NULL,NULL,NULL,NULL,NULL
2022,NULL,4.73,NULL,-2.13,12.01,0.33,3.4,3.6,NULL,NULL,NULL,NULL
2022,NULL,20.42,NULL,20.79,7.02,27.77,NULL,NULL,NULL,NULL,NULL,NULL
2022,NULL,0.23,NULL,0.57,3.6,3.7,0,0,NULL,NULL,NULL,NULL
2022,52,22,25,22,0.5,13,NULL,NULL,96,99,47,57
2022,-14.6,3.7,-9.4,8.2,-114.1,-109.9,1.2,0,78.9,83.3,100,100
2022,NULL,0,NULL,-11.04,-10.23,-9.12,11.4,10.87,NULL,NULL,NULL,NULL
2022,NULL,15.1,NULL,7.1,1.3,0,5.7,-8.3,NULL,NULL,NULL,NULL
2022,54.12,24.3,41.6,28.8,45.9,27.3,22.8,33.3,64.9,63.8,98,98
2022,60.3,-2.4,100,3.5,-14.1,0.4,7.2,3.2,40,76,NULL,NULL
2022,-51,5.3,-8.6,25.1,-2.8,-8.6,12.8,4.9,1.6,2.7,1.6,2.2
2022,NULL,4.83,NULL,5.65,2.7,-0.76,-3.24,1.75,NULL,NULL,NULL,NULL
2022,NULL,-3.04,NULL,-7.99,0,0,0,0,NULL,NULL,NULL,NULL
2022,NULL,15,NULL,10.7,3.3,0.8,11.3,31,NULL,NULL,NULL,NULL
2022,-44.4,5.1,3.5,-1.2,-4.8,-2.9,42.9,35.7,82,79,100,100
2022,-2.3,-16.84,-39.03,-8.9,-77.37,-3.93,7.57,19.56,96.67,97.64,95.83,96.85
2022,68.1,8.9,49.6,-8.9,-9.5,-4.2,NULL,NULL,8.4,9,27.9,35.7
2022,-4.6,6.3,3.5,0.5,-17.3,17.4,4.4,20.5,88,85,93,86
2022,-37,7.18,-108,18.6,-2.18,3.8,5.64,11.55,80,85,25,50
2022,10.6,12.4,15.9,16.2,-14.5,-2.7,NULL,NULL,89.1,89.5,22,31
2022,33.4,22.8,44.4,24,24.6,24.2,35.5,37.8,90,90,90,88
2022,17.2,4.6,4.4,2,NULL,NULL,-8,0,67,61,87,80
2022,-9.6,7.6,12.7,9.5,-6.6,4.7,18.8,28.3,58,50,91,95
2022,-22.6,4.2,0,2.2,NULL,NULL,29,31.9,79.3,94,86.2,95
2022,NULL,18,NULL,25,-10,-8,28,4,NULL,NULL,NULL,NULL
2022,65.5,27,45.5,26,-62.8,-87.7,9.6,-1.1,65.1,51,33.7,34.1
2022,18.78,12.74,18.18,10.2,NULL,NULL,-1.73,-2.04,40,40,86,87
2022,-2.2,10.9,-1.7,11.5,10.2,11.1,-0.2,-2.7,58,47,NULL,NULL
2022,26,19,12,16,NULL,NULL,17,0,25,55,25,63
2022,44,15.3,44.5,15.3,NULL,NULL,-16.9,-3.4,13.7,16.3,73.8,80.1
2022,24,9.6,2.3,7.8,-11.5,-206.4,0,-0.1,74.7,75.3,97.6,98.3
2022,-59.3,11.3,0,13.2,49.2,52,-0.8,-36.6,4,2.8,0,0
2022,NULL,8.31,NULL,7.3,1.39,3.3,NULL,NULL,NULL,NULL,NULL,NULL
2022,48,29,23,26,31,29,-2,-5,92,87,32,32
2022,-29.3,0.3,-13.5,9.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,7.3,5.4,27.6,6.8,NULL,NULL,-32,5,77.2,79.1,82.2,78.8
2022,5.5,8.4,11.5,15,NULL,NULL,-4.1,0,87.2,88.3,92,92
2022,55.1,17,40,11.7,12.6,22.3,NULL,NULL,74,76,84,88
2022,NULL,4.58,NULL,1.98,-7.09,-35.42,6.05,17.98,NULL,NULL,0.19,0.06
2022,32.99,6.62,1.75,8.65,-49.47,-49.47,0,0,NULL,NULL,65.69,62.73
2022,33,26,23,24,70,71,-10,-10,82,85,80,88
2022,NULL,-9.85,NULL,-12.62,-3.52,-8.67,-15.75,0,NULL,NULL,11.9,11.9
2022,30.5,12.6,7.9,6.3,-54,-25.6,-11.4,7.6,89.2,92.4,79,81.1
2022,NULL,8.08,NULL,6.77,3.1,-0.33,7.44,2.05,NULL,NULL,NULL,NULL
2022,NULL,8.52,NULL,2.56,6.32,8.69,NULL,NULL,NULL,NULL,85.04,14.96
2022,-20,24.1,17,25.9,2.7,2.4,100,100,4.08,3.17,0.78,1.61
2022,NULL,-8.5,NULL,-5.8,NULL,NULL,NULL,NULL,0,0.4,0,0.4
2022,NULL,-7.01,NULL,-14.51,-30.46,-18.34,-2.82,0.58,NULL,NULL,NULL,NULL
2022,51.46,3.03,13.75,-16.55,8.03,13.75,34.44,27.75,13.95,13.89,0.16,0
2022,NULL,2.54,NULL,-4.97,1.56,1.24,-1.81,11.7,NULL,NULL,NULL,NULL
2022,12.8,5.7,7.3,3.6,NULL,NULL,8.2,-1,91,94,12,16
2022,11,11,-6,2,-19,-48,25,17,86,92,96,99
2022,44.94,18.92,-0.66,0,0,0,-0.03,-0.09,64.5,68.6,57,71.3
2022,19,21.8,17,17.1,-32.8,-48.9,3.1,0.8,98,99,10,17
2022,48,19,43,13,-13,-1,-17,0,89,80,1,2
2022,69,34,63,23,17,39,9,41,68,56,80,60
2022,38.83,9.76,-43.93,5.18,NULL,NULL,NULL,NULL,85.95,83.78,66.94,60.14
2022,-126.35,-3.25,2.5,4.73,NULL,NULL,-7.26,-1.04,100,100,NULL,NULL
2022,59.8,40.99,57.45,46.02,39.6,49.76,11.33,31.09,82.48,84.65,86.13,88.84
2022,-73,-27,32,23,NULL,NULL,NULL,NULL,92,92,95,96
2022,14,5,11,8,-10,-9,3,-4,94,96,94,94
2022,-0.94,2.37,0,-1.93,7.34,33.19,-5.19,-0.68,76.29,72.89,13.55,11.82
2022,0,15.8,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,-16.3,-0.4,8.6,1.1,-0.3,0.3,5.2,4.9,NULL,NULL,NULL,NULL
2022,12.4,4,6.2,4.3,NULL,NULL,0.8,0.3,91.9,94.8,89.7,92.6
2022,-24,-1.9,-67,-0.4,-1.3,-0.5,-0.6,0.4,97.4,100,NULL,NULL
2022,28,15.4,42.6,8.2,NULL,NULL,NULL,NULL,78.6,90.4,6.8,5.5
2022,NULL,3.65,NULL,4.62,-80.49,-73.03,16.33,33.45,NULL,NULL,NULL,NULL
2022,NULL,12,NULL,0,13,-11,20,23,NULL,NULL,NULL,NULL
